 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Samara Honda,3.9, 331 ,2009,99999999,0,0,http://www.samarahonda.com
 B M Nissan,3.9, 228 ,NA,99999999,0,0,http://www.bmnissan.com
 Indraprastha Automobiles Pvt Ltd,4.0, 603 ,NA,99999999,0,0,http://www.indraprasthaautomobiles.com
 Renault Peeragarhi,0, 0 ,NA,99999999,0,0,http://www.renault.co.in
 Elroy Hyundai,4.1, 8 ,2016,99999999,0,0,http://www.elroymotors.com
 Tanish Ford,4.0, 23 ,2015,99999999,0,0,http://www.tanishford.in
 Magic Auto,3.9, 1046 ,NA,99999999,0,0,none
 Asian Motors,4.0, 871 ,2009,99999999,0,0,none
 Carnation,3.6, 160 ,2011,99999999,0,0,http://www.carnation.in
 Nimbus Hyundai,4.0, 141 ,NA,99999999,0,0,http://www.hyundai.co.in
 Renault Adhchini,3.9, 145 ,NA,99999999,0,0,http://www.renault.co.in
 Himgiri Cars Pvt Ltd,4.1, 7 ,NA,99999999,0,0,http://www.himgiricars.com
 Competent Automobiles Co Ltd,3.9, 19 ,NA,99999999,0,0,none
 Harpreet Ford,3.8, 614 ,2012,99999999,0,0,http://www.harpreetford.com
 Sab Motors Pvt Ltd,3.9, 35 ,2016,99999999,0,0,none
 Mr Car Auto Company Ltd,3.7, 174 ,2009,99999999,0,0,http://www.mrcar.in
 Ring Road Honda,3.9, 319 ,1998,99999999,0,0,none
 Arya Motors Anr Automobiles,4.0, 33 ,2015,99999999,0,0,http://www.aryamotors.in
 Pahwa Autoworld,4.3, 28 ,2016,99999999,0,0,http://www.pahwaautoworld.com
 Concorde Motors India Limited,4.0, 27 ,2014,99999999,0,0,http://www.concordemotors.com
 Prem Motors Pvt Ltd,3.4, 21 ,2014,99999999,0,0,http://www.premmotors.com
 Pasco Automobiles,3.8, 16 ,NA,99999999,0,0,none
 Sri Durga Automobiles,3.9, 318 ,NA,99999999,0,0,http://www.sridurgaautomobiles.com
 Tempo Automobiles Pvt Ltd,3.7, 65 ,NA,99999999,0,0,http://www.forcesmotors.com
 Nimbus Motors Pvt Ltd,3.9, 271 ,1999,99999999,0,0,none
